Factory Wheel Warehouse,,,
Gross Sales By Product,,,
Date Range: 04/01/2021 - 06/30/2021,,,
 ,,,
Product,,Sales,
DAS.6-221B - BERU VALVE STEM 48 GREEN MARK  box of 10 (1093),,19034.72,
DAS.6-207 - TPMS SNAP IN RUBBER VALVE STEM box of 10 (VS950),,17289.00,
W25SFEB - 1/4 oz black,,9383.00,
AW.96103-1 - SILVER 1/4 OZ WHEEL WEIGHTS (1 BOX),,8769.00,
80100 Scuff Pads - Scuff Pads,,7060.50,
MAXS.MT-ALUM-1 - PROGRAMMABLE ALUMINUM SENSOR (1 PIECE),,5665.00,
DAS.6-208 - CLIP STYLE RUBBER VALVE STEM box of 10  (VS90),,5582.08,
ALY71373U20 - WL;10-15 5/7SR;19x8.5;14 VSPALL PAINTED SILVER FRONT,,4139.77,
ALY96965U45 - TESLA 2020 MODEL Y 20X9.5 45MM 118822300B BLACK*CORE 96965,,4037.38,
DAS.TR413 - SNAP-IN STNDRD LNGTH TIRE VALVE BAG 100/bag (TR413),,3672.50,
additional shipping - additional shipping,,3421.64,
DAS.6-231C - CONTINENTAL TPMS KIT W/STEM box of 10  (VS70),,3187.50,
MAXS.MT-RUBR-1 - PROGRAMMABLE RUBBER SENSOR (1 PIECE),,3036.14,
"00102 - 00102 SUNMIGHT 3""X36 GRIT GRINDING DISC 25/BX",,3000.00,
"ALY96231U20 - TESLA 19"" 19x8.5 +40 Silver",,2666.41,
ALY09113U79 - WL;12-19 GRDCHR;20X10;5 SPLITDARK HYPERSILVER,,2614.50,
DAS.1-1400 - TPMS NICKEL PLATED VALVE CORES 100/box (TP-100),,2470.00,
DAS.2-128 - TPMS GREY SMALL PLASTIC VALVE CAP 100/box (TP-650),,2422.00,
ALY75157U45 - WL;14-20 TUNDRA;18X8;10VNTMACHINED AND BLACK,,2373.73,
AW.98100 - VGNA 332Z-2 PCD DIAMOND BIT (1 PIECE),,2232.63,
"ALY74292U79 - 2014-2015 Lexus IS250 18""x8"" (74292)",,1777.52,
ALY73687U78 - WL;06-07 M35/M45;19x8.5;5SPKHYPERSILVER,,1743.36,
ALY97879U79N - ALY97879U79N,,1714.56,
95012B - Wipes,,1708.50,
"ALY97845U45 - Tesla Model X 2018 22"" OEM Factory Wheel Rim",,1695.30,
ALY03629U85N - 07-11 MKZ; CHRM TEXT WIND;NW REPWL;06 ZEPHYR;17x7.5;8SPK,,1678.44,
ALY59864U77 - WL;10-19 XJ;20x10;10DBLSPREAR LIGHT HYPERSILVER,,1664.37,
"DAS.184432 - Plastic, Duckhead Raised Spoke",,1620.00,
ALY70899U79 - WL;17-19 GENESIS;19X9.5;15SPKALL PTD DRK SMK BLK HYPER;REAR,,1494.00,
ALY96930U30 - TESLA 2020 MODEL Y 21X9.5 40MM 118822600B dark charcoal,,1472.52,
DAS.74 - EURO PASTE 22#,,1327.20,
ALY03994U20N - ALL PAINTD LIGHT SILVR METALLCWL;14-17 EXPLR;20X8.5;5DBL SP,,1285.70,
ALY04600U10 - WL;06-08 DTS;17x7;7SPKNO LEDGE IN VENT;MACH AND SILV,,1271.08,
ALY64127U45/GLOSSBLACK - WL;18-19 ACCORD;19x8.5;5DBL FF GLOSS BLACK,,1200.00,
1/8Th Inch ER4043 - Per Tube,,1190.00,
ALY70813U78 - WL;12-15 VELOSTR;18X7.5;5SPMED SMOK HYPSL NO PLASTIC INS,,1165.66,
DAS.RP6-710014120 - Plastic Head for Hunter Auto 34,,1160.00,
ALY85538U35 - Mercedes E-Class 18x8 et43 Machined Charcoal Wheel,,1145.00,
ALY03824U80 - WL;10-12 MKT;20X8;10-ANG SPOLISHED,,1100.00,
ALY02479U45N - ALL PTD GLOSS BLACKWL;13-16 DART;18X7.5;5 SPK,,1077.41,
STL64041U20 - WL;12-16 CRV;16X6.5 SPKSILVER,,1042.70,
ALY04739U20 - WL;15-19 ESCALADE;22X9;7SPKALL PTD SILV;CHRM INRT NOT INC,,1040.00,
ALY86275U35 - WL;16-19 7 SERS;19X8.5;5DBL SSLW MACH/MED SILV MET;FRNT,,1036.52,
"September 13, 2021 2:48:24 PM EDT",Page 1 of ,,21
Factory Wheel Warehouse,,,
Gross Sales By Product,,,
Date Range: 04/01/2021 - 06/30/2021,,,
 ,,,
Product,,Sales,
ALY96575U30 - ALY96575U30,,1026.88,
ALY03998U95 - WL;15-17 F150;18X7.5;6SPKLIGHT PVD CHROME OE,,1013.19,
ALY64127U45 - WL;18-19 ACCORD;19x8.5;5DBLMACHINED AND BLACK,,1005.00,
ALY85011U20 - WL;08-9 MB E550;18X8.5;5 SPOKEALL PAINTED SILVER,,1000.00,
ALY96143U15 - 2017-2020 BMW 4 SERIES 19X8 5 DOUBLE MACHINED DARK SILVER METALLIC,,985.71,
ALY09137U30N - MACHINED AND CHARC;NW REPWL;14-16 GRND CHER;20X8;5 SPK,,982.44,
STL03872U40 - STL03872U40,,975.70,
"ALY65236U80 - 2001-2002 Mercedes Benz S600 17""x7.5"" (65236)",,956.20,
ALY85355U35 - WL;14-19 S CLS;20X9.5;14 SPMACHD AND CHARC MET/ REAR,,950.00,
"ALY71535U20 - 2012-2015 BMW 335i 17""x7.5"" (71535)",,906.23,
ALY63990U20 - WL;09-12 FIT;16X6;14 SPKALL PAINTED SILVER,,906.20,
ALY75236U30N - ALY75236U30N,,902.56,
"ALY70843U35 - 2013-2014 Hyundai Sonata 18""x7.5"" (70843)",,902.48,
ALY68848U30 - WL;17-20 IMPREZA;18 IN;10SPKMACHINED AND MED CHARCOAL,,896.07,
ALY04818U20 - WL;18-19 XTS;19x8.5;7DBLALL PAINTED BRIGHT SILVER,,876.87,
ALY05116U10 - WL;01-05 S10/SONOMA;16X8MACH/LT CHARCOAL,,864.92,
"ALY71540U35 - 2012-2016 BMW 320i 18""x8"" (71540)",,864.14,
ALY98727U20 - ALL PAINTED BRIGHT SILVER METALLIC,,860.56,
"ALY05254U80 - 2006-2009 Chevrolet Trailblazer 20""x8"" (5254)",,860.00,
ALY70448U45 - WL;18-19 XC60;20x8;8SPOKEMACHINED AND BLACK,,857.81,
ALY71544U10 - WL;12-16 3 SER;18X8;20SPMACHINED AND SILV METALLIC,,857.49,
ALY74159U20 - WL;01-04 LS430;17X7.5;7SPKALL PAINTED SILVER,,846.32,
ALY85099U20 - WL;10-11 C CLS;17X7.5;5-SPK ALL PAINTED SILVER FRONT,,844.14,
ALY74355U30 - WL;16-19 LEX IS;18x8;5 SPK;FRTMACHND AND DARK CHAR,,814.64,
ALY71418U20 - WL;11-19 5SER;19X9;5DBLSPREAR BRIGHT SILVER FF,,809.99,
180 grit - sand paper,,808.60,
ALY74292U78 - WL;14-20 IS350;18X8;5 DBL SPKDARK SMOKED HYPSILVR/FRONT,,807.98,
ALY05361U10 - WL;08-12 MALIBU;18X7;5DBL SPKMACHINED AND SILVER,,807.35,
ALY71332U20 - WL;09-16 7 SER;19X8.5;15WIDE SALL PAINTED SILV,,800.81,
ALY09074U20 - WL;07-18 WRNGLER;17X7.5;5 SPKALL PNT BRT SPRKL SILVR,,800.00,
ALY75156U20 - WL;14-18 TUNDRA;18X8;5SPKALL PTD BRIGHT SILVER,,780.00,
ALY85269U45 - WL;13-15 MB C CLS;18X7.5;7 DBLMACHINED AND BLACK FRONT,,775.00,
ALY65373U78 - WL;06-07CLS CLASS;18x8.5;10SPKHYPERSILVER;FRONT,,754.98,
ALY05665U79 - WL;14-19 CHV/GMC1500;22X9;7SPKALL PTD DARK SMKD HYPERSILVER,,730.62,
DAS.RP11811400327 - PLASTIC DUCKBILL HUNTER TCX500,,730.25,
ALY69490U20 - WL;04-06 SCION XB;15IN;14SPK,,729.96,
ALY75221U46 - WL;18-20 CAMRY;18x8;20SPKALL PAINTED BLACK,,729.76,
"AW.98105 - 163X12"" EXT LENGTH RH MVJNJ TOOLHOLDER",,729.00,
ALY85504U78 - WL;15-19 S CLS;20X8.5;12DBLBRT SMOKD HYPSILVR FF;FRONT,,725.00,
ALY02483U20 - WL;13-16 DART;16X7;5 SPOKESALL PAINTED SPARKLE SILVER,,724.96,
ALY04781U20 - WL;17-19 LACROSSE;20X8.5;10DBALL PAINT BRIGHT SILV BLK PRIM,,724.96,
ALY74694U45 - WL;14-19 SOUL;18X7.5;10 VNTMACHD AND BLK/TAKE PLT NT INC,,724.96,
ALY85057U10 - WL;08-15 C CLASS;18X8.5;5DBL SREAR MACHINED AND SILVER,,704.50,
"September 13, 2021 2:48:24 PM EDT",Page 2 of ,,21
Factory Wheel Warehouse,,,
Gross Sales By Product,,,
Date Range: 04/01/2021 - 06/30/2021,,,
 ,,,
Product,,Sales,
"ALY99477U20 - 2005 - 2007	Maserati	Quattroporte",,701.19,
ALY03804U86 - ALY03804U86,,700.00,
ALY86272U20 - WL;16-19 7 SER;18X8;5V SPALL PTD BRIGHT SILVER,,700.00,
ALY71731U20 - WL;04-05 TSX;17X7;7SPOKESILVER,,695.75,
ALY85374U45 - WL;15-18 C CLS;19X7.5;14SPKMACHINED AND GLOSS BLACK;FRNT,,690.00,
ALY69557U20 - WL;9-13 VENZA;19X7.5;10SPALL PAINTED SILVER,,688.12,
600 grit - sand paper,,684.20,
ALY04569U20 - WL;03-05 DEVLLE;16x7;7SPOKESSILVER,,680.00,
ALY10124U30 - WL;17-19 FUSION;19x8;5DBLMACHD DARK CHARCOAL METALLIC,,680.00,
ALY96352U30 - WL;2019 BMW 6 SERIES 20X9 5 DOUBLE SPOKE,,680.00,
ALY05772U10 - WL;16-17 TERAIN;18X7;6SPKMACHINED AND SILVER,,675.00,
ALY75222U45 - WL;18-20 CAMRY;19x8;15SPKMACHD AND GLOSS BLACK,,675.00,
ALY58172U35 - WL;18-19 STELVIO;19x8;10 SLOT,,670.86,
ALY69980U45 - WL;15-19 GTI;18X7.5;5TWS SPMACHINED AND BLACK,,662.49,
ALY71625U30 - WL;12-16 M5;20X9;7SPKFRONT/MACHD AND DRK CHR MET,,660.00,
ALY01320U15 - WL;83-94 S-10;15X7;5-SLOT;SILV83-94 JIMMY S15/83-93 SONOMA,,659.96,
ALY85108U10 - WL;10-12 GL;21X10;5-SPKMACHINED AND SILVER,,657.79,
ALY09164U55 - WL;17-19 GRND CHER;18x8;10 SPALL PAINTED BRONZE,,652.83,
ALY70858U20 - WL;14-16 ELANTRA;15X6;5SPKALL PTD BRIGHT SILV/USES TPMS,,650.00,
ALY85372U35 - WL;15-19 C CLS;18X7.5;5SPKMACHD AND CHARC METALLIC;FRT,,650.00,
ALY69516U10N - MACHINED AND SILVERWL;07-13 TUNDRA;18X8;5 SPK,,642.84,
ALY86217U30 - WL;16-19 X1;18X7.5;5Y SPMACHD/DARK CHARC MET,,625.52,
ALY85223U10 - WL;12-15 C CLS;18X8;7 SPKMACHINED AND SILVER FRONT,,625.00,
"ALY96249U30 - 2018 TESLA MODEL S 21""",,623.69,
"ALY05759U45OE - WL;FRT;16-19 CAMARO;20X8.5;5SP	BLK W RED STRP;W/GROOVE IN LIP",,620.00,
"ALY05763U45OE - WL;REAR;16-19 CMARO;20X9.5;5SP	BLK W RED STRP;W/GROOVE ON LIP",,620.00,
ALY69429U20 - WL;03-07 4RUNNER;17x7.5;5 SPK1/2DROP FRM FACE TO RETEN LEDG,,620.00,
ALY96250U30 - ALL PAINTED DARK CHARCOAL,,609.81,
ALY70870U35 - WL;15-18 GEN SED;18X8;15SPKMACHD AND LT CHARCOAL,,601.26,
ALY85673U30 - WL RR;19-20 CLS CLASS;20x9; MACH CHARCOAL,,600.00,
STL62368U20 - WL;00-04NISSAN PU;XTRA;15X7,,600.00,
ALY86013U30 - WL;14-19 4 SERS;19X8;5 DBL,,599.92,
ALY86267U20 - WL;16-19 3 SER;18X8.5;5DBL SALL PTD SPARKLE SILV;REAR,,597.74,
ALY59382U20 - WL;01-06 BMW 3;18X8;10SPK;FTSILVER,,597.08,
ALY05664U45 - WL;14-19SILV/SIER;22X9;5SPKMACHINED AND GLOSS BLACK,,596.54,
ALY59853U20 - WL;10-13 XK;19X8.5;10DBLSPKALL PAINTED SILVER FRONT,,590.56,
ALY68851U30 - WL;18-19 WRX;18X8.5;10SPKALL PTD DARK CHARCOAL,,588.75,
"STL08094U20 - 2011-2015 Chevrolet GMC Silverado Sierra Steel 17""",,586.50,
"ALY98727U30 - 2012-2013 Tesla Model S 21""x8.5"" (98727)",,584.58,
ALY70424U45 - WL;16-19 XC90;22X9;5DBLMACHINED AND GLOSS BLACK,,581.89,
ALY05574U35 - ALY05575U35,,581.11,
ALY64111U15 - WL;17-19 CRV;18X7.5;6 SPKMACHD/DARK SILV METALLIC,,580.28,
ALY85371U35 - WL;15-18 C CLS;18X8.5;5DBLMACHD AND MED CHARC MET;REAR,,577.64,
"September 13, 2021 2:48:24 PM EDT",Page 3 of ,,21
Factory Wheel Warehouse,,,
Gross Sales By Product,,,
Date Range: 04/01/2021 - 06/30/2021,,,
 ,,,
Product,,Sales,
ALY71424U10 - WL;11-19 5SER;20X8.5;5 VSPMACHINED AND DARK SILVER FRONT,,574.82,
"ALY71515U10 - 2011-2016 BMW 528i 19""x8.5"" (71515)",,572.61,
ALY02593U20 - WL;17-19 PACIFICA;18X7.5;10VALL PAINTED BRIGHT SILVER,,570.69,
ALY05758U20 - WL;16-19 CAMARO;18X8.5;5SPALL PTD SILVER,,570.00,
ALY64047U20 - WL;13-15 ACCORD;17X7.5;10SALL PAINTED SILVER,,570.00,
ALY85083U35 - WL;09-12 SLCLASS;19X9.5;5TRIPREAR/MACH AND MED SILV,,565.00,
ALY62739U35 - WL;17-19 ARMADA;20X8;6SPKMACHD/DARK CHARCOAL METALLIC,,562.70,
ALY71380U20 - WL;10-13 5/7SER;20X10;10DBLALL PAINTED SILVER REAR,,560.00,
ALY69582U78N - SILVER - HYPER PAINT 2010 - 2018 | TOYOTA | SIENNA | 19x7 | 5-114mm (4in) | 6 SPOKE,,559.68,
ALY86422U45 cut thin - allpainted gloss black,,556.59,
ALY86128U35 - WL;14-18 BMW 228I;18X7.5;5DBLALL PTD MED CHARC/FRONT,,550.00,
ALY86422U45 - WL;19 BMW M850i;20x8;5 Y SPOKE,,550.00,
ALY03338U10 - WL;99-04FD PU SDUTY;16x7;8 HOL00-05 EXCURSION,,548.06,
ALY64016U35 - WL;11-12 ACCORD;18X8;5SPKMEDIUM CHARCOAL FF,,547.32,
ALY64127U45N - WL;18-19 ACCORD;19x8.5;5DBL FF GLOSS BLACK,,545.98,
ALY62723U46 - WL;16-20 MAXIMA;19X8.5;10SPALL PAINTED GLOSS BLACK,,540.00,
ALY59016U10 - WL;17-18 S8;21 INCH;5DBL SPKMACHINED AND SILVER,,531.30,
ALY59016U45 - WL;17-18 S8;21 INCH;5DBL SPKMACHINED AND BLACK,,531.30,
ALY67496U20 - ALY67496U20,,530.00,
ALY70029U20 - WL;18-19 ATLAS;20x8;15SPK,,528.49,
DAS.2-158 - BLACK PLASTIC SEALING VALVE CAP 100/box (635),,525.00,
ALY58952U30 - WL;15-18 S3;19X8;5DBL SPMACHD AND DARK CHARCOAL,,524.99,
ALY59817U20 - WL;07-12 XK8;20X8.5;5 TWN SPKFRONT;ALL PAINTED SILVER,,520.00,
ALY67418U45 - WL;11-13 PANAM;20X11.5;15SPBLACK REAR,,519.60,
ALY86193U30 - WL;16-19 X5M/X6M;20X11.5;10SPMACHD/DARK CHAR MET;REAR,,519.60,
ALY03399U80 - WL;00-3 F150 PU;16X7;5SWRL SPK04 FORD PICKUP HERITAGE,,516.54,
ALY85270U45 - WL;13 MB C CLS;18X8.5;7 DBL SPMACHINED AND BLACK REAR,,510.00,
ALY05533U90 - WL;12-13 CAM ZL1;20X11;5 SPKPOLISHED AND SILVER REAR,,505.99,
ALY85549U45 - WL;17-18 GLC;21X8.5;10SPK,,505.99,
ALY85661U45 - WL RR;19 E-CLASS;20x9;5 DBLMACHINED/GLOSS BLACK,,505.99,
ALY59876U30 - WL;10-19 XJ/XK;20X10;7YSPOKESREAR MACHD CORE-CHARCOAL,,500.00,
ALY73766U35 - WL;14 Q50;19X8.5;5 TRI SPKMACHD AND MED CHARC MET,,500.00,
ALY96930U30*CORE - TESLA 2020 MODEL Y 21X9.5 40MM 118822600B dark charcoal,,500.00,
ALY98159U77 - 2009-2010 Bentley Continental (98159),,500.00,
ALY86012U30 - WL;14-19 4 SERS;19X8;5 TRI SPMACHINED AND CHARCOAL/FRONT,,494.99,
ALY59047U45 - WL;18-19 RS5;20x9;5 SPLITMACHINED BLACK METALLIC,,493.73,
ALY85258U20 - WL;12-13 E CLS;18X8.5;10 SPKALL PAINTED SILVER FRONT,,490.81,
ALY74332U30 - WL;16-18 ES350;17X7;10DBLMACHD DRK CHARC MET,,490.03,
ALY71409U20 - WL;11-19 5 SERIES;18X8;15SPALL PAINTED SILVER,,489.14,
ALY75236U30 - WL;19-20 COROLLA;18x8;5 DBLMACHD/DARK CHARCOAL MET,,488.27,
ALY85058U10 - WL;08-15 C CLASS;18X8;5DBL SPKFRONT MACHINED AND SILVER,,485.00,
STL69512U45 - WL;07-18 TUNDRA;18X8;18 HOLES,,484.04,
ALY74731U20N - ALY74731U20N,,481.98,
STL70169U45 - STL70169U45,,480.02,
"September 13, 2021 2:48:24 PM EDT",Page 4 of ,,21
Factory Wheel Warehouse,,,
Gross Sales By Product,,,
Date Range: 04/01/2021 - 06/30/2021,,,
 ,,,
Product,,Sales,
STL69625U45 - WL;13-18 RAV4;17X6.5;5 SPK,,476.81,
100 grit - sand paper,,475.68,
ALY70423U10 - WL;16-19 XC90;21X9;8SPKMACHD AND SPARK SILVER,,475.00,
ALY02479U20N - ALL PTD BRIGHT SILV METALLICWL;13-16 DART;18X7.5;5 SPK,,471.40,
STL99024U45 - WL STL;03-07 WRNGLR;15X7;5SP,,465.85,
STL08095U20 - WL;11-19SLV/SIE;17X7.5;5SLT,,461.64,
STL69202U45 - WL;4 RUNNER 86-95;15X6;BLACK,,461.47,
ALY85335U30 - WL;14-18 CLA CLS;18X7.5;5DBLMACHINED AND CHARCOAL SILVER,,461.19,
ALY02528U45 - WL;15-19 CHALGR;20X9.5;7DBL SALL PAINTED BLACK,,455.39,
ALY68808U10 - WL;13-14 LEG;17X7.5;10 SPKMACHD AND BRIGHT SILV MET,,453.86,
STL62624U20 - WL;12-19 NIS NV;17X7.5;16HOL,,451.71,
ALY71414U45 - WL;11-19 5SER;19X8.5;5DBLSPFRONT GLOSS BLACK,,450.00,
STL08072U45 - WL;06-13 SIERRA 1500;17X7.55,,445.94,
ALY97879U79 - ALY97879U79,,442.27,
ALY68872U35 - WL;19-20 ASCENT;20x7.5;5 DBLMACHD/MED CHARCOAL METALLIC,,439.99,
ALY75222U45N - 15SPK;MACHD AND GLOSS BLACKWL;REPLICA;18-20 CAMRY;19x8,,435.90,
ALY61688U45 - WL;17 500;15X6;10SPKALL PAINTED GLOSS BLACK,,432.64,
ALY03905U20 - WL;13-18 FOCUS;18X8;5 Y SPKALL PAINTED SPARKLE SILVER,,430.06,
ALY04597U20 - WL;06-07 CTS;18x8;12SPKALL PAINTED SILVER,,430.06,
ALY65190U10 - WL;98-9 C-CLASS;15X7;8HOLEMACHINED AND SILVER,,430.00,
ALY69558U78N - ALL PNTD SMOKED HYPER SILVERWL;9-15 VENZA;20X7.5;5SPK,,427.78,
ALY02508U20 - WL;15-19 CHALLENGER;20x8;5 SPKALL PAINT BRIGHT SILV BLK PRIM,,426.68,
ALY71590U10 - WL;10-17 5/7SER;21X10;20SPKMACHD AND MED SILV MET;RR,,425.03,
"ALY59444U45 - 2002-2006 BMW X5 17""x7.5"" (59444)",,425.00,
ALY05477U77N - BRIT HYPERSILVER FF;NW REPLICAWL;11-14CRUZ;18X7.5;5SPLT S,,424.40,
ALY69951U10 - WL;13-7 CC;17X8;5 SPKMACHINED AND LIGHT SILVER,,423.16,
ALY59695U10 - WL;98-99 XJ8;18 INCHSILVER,,423.02,
STL02190U45 - STL02190U45,,420.28,
ALY64048U25*CORE - WL;13-15 ACCORD;18X8;10VNMACH AND MED CHAR MET TEXT,,420.00,
ALY09132A20 - WL;14-18 CHEROKEE;18x7;5 DBL ALL PTD SILV W/BLACK PRIMER,,418.14,
